day,component,proportion
220.0,purine,-0.0
220.0,benzoic acid,0.0009782163038182501
220.0,7-methylxanthine,-0.0
220.0,1-methyluric acid,0.05890224197265569
220.0,3-aminoisobutyrate,0.03389134540303427
220.0,p-cresol sulfate,0.015538935775242995
230.0,S-3-hydroxyisobutyrate,0.03252611370742168
230.0,acetic acid,0.05138432064503359
230.0,creatine,0.01895318887628502
230.0,dimethylamine,-0.0
230.0,citric acid,0.016467392209334113
230.0,glycine,-0.0
230.0,formic acid,0.004705612733861237
230.0,alanine,0.032805557508711836
230.0,lactic acid,0.015325686686978457
230.0,myo-inositol,0.13930205106279278
230.0,succinic acid,0.02841413449352631
230.0,xanthineurea,0.00693436520366699
230.0,uracil,0.02352173040775394
230.0,allantoin,-0.0
230.0,creatinine,0.03807443947504194
230.0,indoxylsulfate,0.1180025201623592
230.0,hippuric acid,0.07458216152292613
230.0,3-hydroxyisovalerate,-0.0
230.0,pseudouridine,0.012974846738313672
230.0,N-acetyl-aspartic acid,0.06485990867119668
230.0,trigonelline,0.076326209274452
230.0,trimethylamine,0.002748886386363388
230.0,trimethylamine-N-oxide,0.035843075271678244
230.0,tartaric acid,-0.0
230.0,purine,-0.0
230.0,benzoic acid,0.0021080594274743235
230.0,7-methylxanthine,-0.0
230.0,1-methyluric acid,0.05580140341040784
230.0,3-aminoisobutyrate,0.08155418730306155
230.0,p-cresol sulfate,0.014393472348648085
240.0,S-3-hydroxyisobutyrate,0.04386016212683049
240.0,acetic acid,0.060042397802812064
240.0,creatine,0.03697619935662562
240.0,dimethylamine,0.0009873579090598397
240.0,citric acid,0.016821572343287534
240.0,glycine,-0.0
240.0,formic acid,0.0023660640179794545
240.0,alanine,0.03744200602483115
240.0,lactic acid,0.019502227712766315
240.0,myo-inositol,0.1736301619415496
240.0,succinic acid,0.028686204076163065
240.0,xanthineurea,0.009562800621236824
240.0,uracil,0.021682902151516706
240.0,allantoin,-0.0
240.0,creatinine,0.03369776615651606
240.0,indoxylsulfate,0.10649444154753036
240.0,hippuric acid,0.10462708646713177
240.0,3-hydroxyisovalerate,-0.0
240.0,pseudouridine,0.014115595008267324
240.0,N-acetyl-aspartic acid,0.06849204316029085
240.0,trigonelline,0.06757292095445108
240.0,trimethylamine,0.0020248653194413404
240.0,trimethylamine-N-oxide,0.018187580681448302
240.0,tartaric acid,-0.0
240.0,purine,-0.0
240.0,benzoic acid,0.0007332389062322344
240.0,7-methylxanthine,-0.0
240.0,1-methyluric acid,0.058501151951381426
240.0,3-aminoisobutyrate,0.0033462425942916937
240.0,p-cresol sulfate,0.006500436004354332
250.0,S-3-hydroxyisobutyrate,0.03836515980225708
250.0,acetic acid,0.05247139033351733
250.0,creatine,0.024373789944911226
250.0,dimethylamine,0.0012782099325295668
250.0,citric acid,0.0177472199101597
250.0,glycine,-0.0
250.0,formic acid,0.0024467915107715663
250.0,alanine,0.03855216433747863
250.0,lactic acid,0.019710046651278613
250.0,myo-inositol,0.16536586607404902
250.0,succinic acid,0.02726060621853892
250.0,xanthineurea,0.007318278350146868
250.0,uracil,0.018670262601980833
250.0,allantoin,-0.0
250.0,creatinine,0.03769817102763175
250.0,indoxylsulfate,0.12417512669467567
250.0,hippuric acid,0.07659451345481783
250.0,3-hydroxyisovalerate,-0.0
250.0,pseudouridine,0.01419516856683394
250.0,N-acetyl-aspartic acid,0.06692930769108929
250.0,trigonelline,0.0786415190322779
250.0,trimethylamine,0.0023159262297406287
250.0,trimethylamine-N-oxide,0.018430789894884246
250.0,tartaric acid,-0.0
250.0,purine,-0.0
250.0,benzoic acid,0.0003415758575506199
250.0,7-methylxanthine,-0.0
250.0,1-methyluric acid,0.06964755032837197
250.0,3-aminoisobutyrate,0.024055675469824254
250.0,p-cresol sulfate,0.013400541268253944
254.0,S-3-hydroxyisobutyrate,0.05599961996489426
254.0,acetic acid,0.061524629558080295
254.0,creatine,0.006061752970061531
254.0,dimethylamine,0.0024538796121005993
254.0,citric acid,0.004410327513969581
254.0,glycine,-0.0
254.0,formic acid,0.006140653067913127
254.0,alanine,0.040874325565390786
254.0,lactic acid,0.021438783038032344
254.0,myo-inositol,0.169067033128762
254.0,succinic acid,0.027584101208638735
254.0,xanthineurea,0.0037895695940817773
254.0,uracil,0.007541420017620917
254.0,allantoin,-0.0
254.0,creatinine,0.03501852732546021
254.0,indoxylsulfate,0.10635849215539632
254.0,hippuric acid,0.06717426019513556
254.0,3-hydroxyisovalerate,-0.0
254.0,pseudouridine,0.01495290947118876
254.0,N-acetyl-aspartic acid,0.06743498281293897
254.0,trigonelline,0.07037802499402897
254.0,trimethylamine,0.001014379921624876
254.0,trimethylamine-N-oxide,0.02760703427235324
254.0,tartaric acid,-0.0
254.0,purine,-0.0
254.0,benzoic acid,0.000617318450267898
254.0,7-methylxanthine,-0.0
254.0,1-methyluric acid,0.08120615559039704
254.0,3-aminoisobutyrate,0.010767888309622404
254.0,p-cresol sulfate,0.04582105020056947
